publisher,hostname
EDPSciences,publications.edpsciences.org
Elsevier,www.elsevier.com
EMS Press,ems.press
Enliven Archive,www.enlivenarchive.org
Entomological Society of Canada,esc-sec.ca
Equinox Publishing,www.equinoxpub.com
Erich Schmidt Verlag,esv.info
"eScholarship Publishing, University of California",escholarship.org
European Alliance for Innovation (EAI),eai.eu
European Geosciences Union,www.egu.eu
Exeley,www.exeley.com
Fabrizio Serra,www.libraweb.net
Ferdowsi University of Mashhad,en.um.ac.ir
Firenze University Press,journals.fupress.net
Franco Angeli Edizioni,www.francoangeli.it
Franz Steiner Verlag,www.steiner-verlag.de
Frontiers,www.frontiersin.org
Fundacao Getulio Varagas (FGV),portal.fgv.br
Future Medicine,www.futuremedicine.com
Future Science,www.future-science.com
Galenos Yayincilik,www.galenos.com.tr
Gavin Publishers,www.gavinpublishers.com
Gerflint,gerflint.fr
Global Science Books,www.globalsciencebooks.info
Global Science Research Journals,www.globalscienceresearchjournals.org
Hans Publishers,www.hanspub.org
Heighten Science Publications Inc,www.hspioa.org
Herald Open Access,www.heraldopenaccess.us
Herbert Publications,www.hoajonline.com
Higher Education Press,journal.hep.com.cn
Hikari,www.m-hikari.com
Hilaris,www.hilarispublisher.com
Hindawi,www.hindawi.com
Hogrefe,www.hogrefe.com
Horizon Research Publishing,www.hrpub.org
Human Kinetics,journals.humankinetics.com
ICE Virtual Library,www.icevirtuallibrary.com
IGI Global,www.igi-global.com
II Pensiero Scientifico Editore srl,pensiero.it
Il Mulino,www.mulino.it
i-manager Publications,imanagerpublications.com
iMedPub,www.imedpub.com
InderScience,www.inderscience.com
Infonomics Society,infonomics-society.org
Information Resources Management Association,www.irma-international.org
INFORMS,www.informs.org
Institut Agama Islam Negeri (IAIN) Curup,journal.iaincurup.ac.id
Institut d'Estudis Catalans,revistes.iec.cat
Institution of Engineering and Technology,digital-library.theiet.org
Intellect,www.intellectbooks.com
International Islamic University Malaysia,journals.iium.edu.my
International Knowledge Press,www.ikprress.org
International Medical Publisher,imed.pub
International Press,www.intlpress.com
International Scholars Journals,internationalscholarsjournals.org
Internet Scientific Publications,ispub.com
IOP Publishing,ioppublishing.org
IOS Press,www.iospress.nl
IP Innovative Publication,www.ipinnovative.com
Istanbul University Press,iupress.istanbul.edu.tr
IWA Publishing,www.iwapublishing.com
Izdatel'stvo Meditsina Publishers,www.medlit.ru
Jagiellonian University Press,wuj.pl
